metric,U,pvalue,median_merged,median_closed
size_lines,605871717.0,5.195325128240187e-32,28.0,35.0
changed_files,633239174.0,0.03898155353670686,2.0,2.0
review_duration_hours,470393453.0,0.0,48.1,122.39
description_length,724340614.0,1.7209916541029727e-205,988.0,872.0
participants_count,540892850.0,3.5961012301943734e-281,3.0,4.0
comments_count,484776688.5,0.0,2.0,3.0
